ProcessID,OrderID,DateKey,Department,ProcessStep,PlannedDuration_hrs,ActualDuration_hrs,DelayReason,Status,Priority,AssignedTo,StartDateTime,EndDateTime
PRC-001,ORD-10001,20230101,Order Processing,Order Verification,2,2.5,Staff Shortage,Completed,High,Team Alpha,2023-01-01 08:00,2023-01-01 10:30
PRC-002,ORD-10001,20230101,Warehouse,Pick & Pack,4,3.5,,Completed,High,Team Bravo,2023-01-01 11:00,2023-01-01 14:30
PRC-003,ORD-10001,20230101,Shipping,Dispatch,2,4.5,Carrier Delay,Completed,High,Team Charlie,2023-01-01 15:00,2023-01-01 19:30
PRC-004,ORD-10002,20230101,Order Processing,Order Verification,1,1,,Completed,Medium,Team Alpha,2023-01-01 09:00,2023-01-01 10:00
PRC-005,ORD-10002,20230101,Fulfillment,License Provisioning,2,2,,Completed,Medium,Team Delta,2023-01-01 10:30,2023-01-01 12:30
PRC-006,ORD-10003,20230102,Order Processing,Order Verification,2,3,System Downtime,Completed,High,Team Alpha,2023-01-02 08:00,2023-01-02 11:00
PRC-007,ORD-10003,20230102,Service Delivery,Onboarding Setup,8,10,Complex Requirements,Completed,High,Team Echo,2023-01-02 12:00,2023-01-02 22:00
PRC-008,ORD-10004,20230115,Order Processing,Order Verification,2,1.5,,Completed,High,Team Alpha,2023-01-15 08:00,2023-01-15 09:30
PRC-009,ORD-10004,20230115,Fulfillment,Software Deployment,6,8,Integration Issues,Completed,High,Team Delta,2023-01-15 10:00,2023-01-15 18:00
PRC-010,ORD-10005,20230115,Order Processing,Order Verification,1,1,,Completed,Medium,Team Alpha,2023-01-15 09:00,2023-01-15 10:00
PRC-011,ORD-10005,20230115,Fulfillment,License Provisioning,2,2.5,Approval Pending,Completed,Medium,Team Delta,2023-01-15 10:30,2023-01-15 13:00
PRC-012,ORD-10006,20230201,Order Processing,Order Verification,2,2,,Completed,High,Team Alpha,2023-02-01 08:00,2023-02-01 10:00
PRC-013,ORD-10006,20230201,Warehouse,Pick & Pack,4,5,Inventory Mismatch,Completed,High,Team Bravo,2023-02-01 10:30,2023-02-01 15:30
PRC-014,ORD-10006,20230201,Quality Control,Inspection,2,2,,Completed,High,Team Foxtrot,2023-02-01 16:00,2023-02-01 18:00
PRC-015,ORD-10006,20230201,Shipping,Dispatch,2,2.5,Weather Delay,Completed,High,Team Charlie,2023-02-01 18:30,2023-02-01 21:00
PRC-016,ORD-10010,20230301,Order Processing,Order Verification,2,1.5,,Completed,High,Team Alpha,2023-03-01 08:00,2023-03-01 09:30
PRC-017,ORD-10010,20230301,Warehouse,Pick & Pack,4,6,Staff Shortage,Completed,High,Team Bravo,2023-03-01 10:00,2023-03-01 16:00
PRC-018,ORD-10010,20230301,Quality Control,Inspection,2,2,,Completed,High,Team Foxtrot,2023-03-01 16:30,2023-03-01 18:30
PRC-019,ORD-10010,20230301,Shipping,Dispatch,2,3,Carrier Delay,Completed,High,Team Charlie,2023-03-01 19:00,2023-03-01 22:00
PRC-020,ORD-10012,20230315,Order Processing,Order Verification,2,3.5,Approval Pending,Completed,High,Team Alpha,2023-03-15 08:00,2023-03-15 11:30
PRC-021,ORD-10012,20230315,Service Delivery,Cloud Migration,24,30,Complex Requirements,Completed,Critical,Team Echo,2023-03-15 12:00,2023-03-17 18:00
PRC-022,ORD-10016,20230415,Order Processing,Order Verification,2,2,,Completed,High,Team Alpha,2023-04-15 08:00,2023-04-15 10:00
PRC-023,ORD-10016,20230415,Warehouse,Pick & Pack,6,5.5,,Completed,High,Team Bravo,2023-04-15 10:30,2023-04-15 16:00
PRC-024,ORD-10016,20230415,Quality Control,Inspection,3,4,Equipment Malfunction,Completed,High,Team Foxtrot,2023-04-15 16:30,2023-04-15 20:30
PRC-025,ORD-10016,20230415,Shipping,Dispatch,3,3,,Completed,High,Team Charlie,2023-04-15 21:00,2023-04-16 00:00
PRC-026,ORD-10019,20230501,Order Processing,Order Verification,2,2,,Completed,High,Team Alpha,2023-05-01 08:00,2023-05-01 10:00
PRC-027,ORD-10019,20230501,Service Delivery,Security Audit,16,14,,Completed,Critical,Team Echo,2023-05-01 10:30,2023-05-02 00:30
PRC-028,ORD-10022,20230601,Order Processing,Order Verification,2,4,System Downtime,Completed,High,Team Alpha,2023-06-01 08:00,2023-06-01 12:00
PRC-029,ORD-10022,20230601,Service Delivery,Cloud Migration,24,28,Integration Issues,Completed,Critical,Team Echo,2023-06-01 13:00,2023-06-03 17:00
PRC-030,ORD-10024,20230615,Order Processing,Order Verification,2,1.5,,Completed,High,Team Alpha,2023-06-15 08:00,2023-06-15 09:30
