DateKey,Date,Year,Quarter,Month,MonthName,WeekOfYear,DayOfWeek,DayName,FiscalYear,FiscalQuarter,IsWeekend
20230101,2023-01-01,2023,Q1,1,January,1,Sunday,Sun,FY2023,FQ3,Yes
20230102,2023-01-02,2023,Q1,1,January,1,Monday,Mon,FY2023,FQ3,No
20230115,2023-01-15,2023,Q1,1,January,3,Sunday,Sun,FY2023,FQ3,Yes
20230201,2023-02-01,2023,Q1,2,February,5,Wednesday,Wed,FY2023,FQ3,No
20230215,2023-02-15,2023,Q1,2,February,7,Wednesday,Wed,FY2023,FQ3,No
20230301,2023-03-01,2023,Q1,3,March,9,Wednesday,Wed,FY2023,FQ3,No
20230315,2023-03-15,2023,Q1,3,March,11,Wednesday,Wed,FY2023,FQ3,No
20230401,2023-04-01,2023,Q2,4,April,13,Saturday,Sat,FY2023,FQ4,Yes
20230415,2023-04-15,2023,Q2,4,April,15,Saturday,Sat,FY2023,FQ4,Yes
20230501,2023-05-01,2023,Q2,5,May,18,Monday,Mon,FY2023,FQ4,No
20230515,2023-05-15,2023,Q2,5,May,20,Monday,Mon,FY2023,FQ4,No
20230601,2023-06-01,2023,Q2,6,June,22,Thursday,Thu,FY2023,FQ4,No
20230615,2023-06-15,2023,Q2,6,June,24,Thursday,Thu,FY2023,FQ4,No
20230701,2023-07-01,2023,Q3,7,July,26,Saturday,Sat,FY2024,FQ1,Yes
20230715,2023-07-15,2023,Q3,7,July,28,Saturday,Sat,FY2024,FQ1,Yes
20230801,2023-08-01,2023,Q3,8,August,31,Tuesday,Tue,FY2024,FQ1,No
20230815,2023-08-15,2023,Q3,8,August,33,Tuesday,Tue,FY2024,FQ1,No
20230901,2023-09-01,2023,Q3,9,September,35,Friday,Fri,FY2024,FQ1,No
20230915,2023-09-15,2023,Q3,9,September,37,Friday,Fri,FY2024,FQ1,No
20231001,2023-10-01,2023,Q4,10,October,40,Sunday,Sun,FY2024,FQ2,Yes
20231015,2023-10-15,2023,Q4,10,October,42,Sunday,Sun,FY2024,FQ2,Yes
20231101,2023-11-01,2023,Q4,11,November,44,Wednesday,Wed,FY2024,FQ2,No
20231115,2023-11-15,2023,Q4,11,November,46,Wednesday,Wed,FY2024,FQ2,No
20231201,2023-12-01,2023,Q4,12,December,48,Friday,Fri,FY2024,FQ2,No
20231215,2023-12-15,2023,Q4,12,December,50,Friday,Fri,FY2024,FQ2,No
20240101,2024-01-01,2024,Q1,1,January,1,Monday,Mon,FY2024,FQ3,No
20240115,2024-01-15,2024,Q1,1,January,3,Monday,Mon,FY2024,FQ3,No
20240201,2024-02-01,2024,Q1,2,February,5,Thursday,Thu,FY2024,FQ3,No
20240215,2024-02-15,2024,Q1,2,February,7,Thursday,Thu,FY2024,FQ3,No
20240301,2024-03-01,2024,Q1,3,March,9,Friday,Fri,FY2024,FQ3,No
20240315,2024-03-15,2024,Q1,3,March,11,Friday,Fri,FY2024,FQ3,No
20240401,2024-04-01,2024,Q2,4,April,14,Monday,Mon,FY2024,FQ4,No
20240415,2024-04-15,2024,Q2,4,April,16,Monday,Mon,FY2024,FQ4,No
20240501,2024-05-01,2024,Q2,5,May,18,Wednesday,Wed,FY2024,FQ4,No
20240515,2024-05-15,2024,Q2,5,May,20,Wednesday,Wed,FY2024,FQ4,No
20240601,2024-06-01,2024,Q2,6,June,22,Saturday,Sat,FY2024,FQ4,Yes
20240615,2024-06-15,2024,Q2,6,June,24,Saturday,Sat,FY2024,FQ4,Yes
20240701,2024-07-01,2024,Q3,7,July,27,Monday,Mon,FY2025,FQ1,No
20240715,2024-07-15,2024,Q3,7,July,29,Monday,Mon,FY2025,FQ1,No
20240801,2024-08-01,2024,Q3,8,August,31,Thursday,Thu,FY2025,FQ1,No
20240815,2024-08-15,2024,Q3,8,August,33,Thursday,Thu,FY2025,FQ1,No
20240901,2024-09-01,2024,Q3,9,September,35,Sunday,Sun,FY2025,FQ1,Yes
20240915,2024-09-15,2024,Q3,9,September,37,Sunday,Sun,FY2025,FQ1,Yes
20241001,2024-10-01,2024,Q4,10,October,40,Tuesday,Tue,FY2025,FQ2,No
20241015,2024-10-15,2024,Q4,10,October,42,Tuesday,Tue,FY2025,FQ2,No
20241101,2024-11-01,2024,Q4,11,November,44,Friday,Fri,FY2025,FQ2,No
20241115,2024-11-15,2024,Q4,11,November,46,Friday,Fri,FY2025,FQ2,No
20241201,2024-12-01,2024,Q4,12,December,48,Sunday,Sun,FY2025,FQ2,Yes
20241215,2024-12-15,2024,Q4,12,December,50,Sunday,Sun,FY2025,FQ2,Yes
20250101,2025-01-01,2025,Q1,1,January,1,Wednesday,Wed,FY2025,FQ3,No
20250115,2025-01-15,2025,Q1,1,January,3,Wednesday,Wed,FY2025,FQ3,No
20250201,2025-02-01,2025,Q1,2,February,5,Saturday,Sat,FY2025,FQ3,Yes
20250215,2025-02-15,2025,Q1,2,February,7,Saturday,Sat,FY2025,FQ3,Yes
20250301,2025-03-01,2025,Q1,3,March,9,Saturday,Sat,FY2025,FQ3,Yes
20250315,2025-03-15,2025,Q1,3,March,11,Saturday,Sat,FY2025,FQ3,Yes
