OrderID,DateKey,CustomerID,ProductID,RegionID,Quantity,UnitPrice,Discount,TotalAmount,COGS,Profit,PaymentMethod,OrderStatus,SalesChannel
ORD-11092,20230102,C004,P030,R003,4,8000,0.05,30400.0,14000,16400.0,ACH,Completed,Online
ORD-10565,20230103,C058,P025,R001,7,1800,0.05,11970.0,6300,5670.0,Purchase Order,Completed,Direct Sales
ORD-10733,20230103,C008,P001,R003,4,6800,0.12,23936.0,16800,7136.0,Wire Transfer,Completed,Direct Sales
ORD-11305,20230104,C048,P021,R002,20,349,0.1,6282.0,1600,4682.0,Credit Card,Shipped,Marketplace
ORD-11239,20230105,C041,P027,R004,6,4500,0,27000,12000,15000,Check,Completed,Marketplace
ORD-10997,20230106,C034,P025,R002,3,1800,0,5400,2700,2700,Wire Transfer,Completed,Online
ORD-11214,20230106,C001,P028,R002,18,850,0.12,13464.0,7200,6264.0,Check,Completed,Marketplace
ORD-10273,20230109,C020,P015,R001,51,199,0,10149,3060,7089,Wire Transfer,Completed,Direct Sales
ORD-10553,20230110,C033,P029,R001,3,1500,0.08,4140.0,1500,2640.0,Credit Card,Completed,Online
ORD-11134,20230110,C024,P001,R002,1,6800,0.05,6460.0,4200,2260.0,Wire Transfer,Completed,Direct Sales
ORD-11307,20230110,C040,P015,R003,47,199,0,9353,2820,6533,Check,Completed,Direct Sales
ORD-10099,20230111,C014,P010,R001,4,1850,0,7400,4400,3000,Check,Completed,Direct Sales
ORD-10570,20230111,C025,P021,R001,8,349,0.12,2456.96,640,1816.96,Check,Completed,Direct Sales
ORD-10780,20230111,C037,P016,R003,4,2000,0.1,7200.0,3200,4000.0,ACH,Completed,Marketplace
ORD-11301,20230111,C046,P014,R003,6,1650,0,9900,5700,4200,ACH,Completed,Direct Sales
ORD-10435,20230112,C015,P009,R001,5,3800,0.12,16720.0,7500,9220.0,Check,Completed,Direct Sales
ORD-10624,20230112,C045,P030,R002,4,8000,0,32000,14000,18000,Check,Completed,Online
ORD-11389,20230112,C023,P025,R004,5,1800,0.08,8280.0,4500,3780.0,ACH,Completed,Partner
ORD-10262,20230113,C045,P006,R002,1,5500,0,5500,2400,3100,Purchase Order,Completed,Direct Sales
ORD-10640,20230113,C003,P019,R002,8,1200,0.1,8640.0,4000,4640.0,ACH,Completed,Partner
ORD-11468,20230116,C009,P004,R002,12,499,0.1,5389.2,1440,3949.2,Purchase Order,Completed,Direct Sales
ORD-10735,20230117,C041,P007,R004,24,450,0,10800,5280,5520,Check,Completed,Direct Sales
ORD-11184,20230117,C044,P009,R002,3,3800,0.1,10260.0,4500,5760.0,Check,Completed,Partner
ORD-10339,20230118,C024,P030,R002,3,8000,0,24000,10500,13500,Purchase Order,Completed,Online
ORD-10418,20230118,C051,P023,R004,21,699,0.1,13211.1,4200,9011.1,ACH,Completed,Direct Sales
ORD-10797,20230118,C019,P030,R004,4,8000,0,32000,14000,18000,Check,Cancelled,Online
ORD-11193,20230118,C025,P007,R001,16,450,0,7200,3520,3680,Wire Transfer,Completed,Direct Sales
ORD-11221,20230118,C008,P025,R003,2,1800,0.12,3168.0,1800,1368.0,Purchase Order,Completed,Online
ORD-10654,20230119,C060,P030,R004,2,8000,0.1,14400.0,7000,7400.0,Purchase Order,Shipped,Partner
ORD-10848,20230120,C047,P014,R003,4,1650,0,6600,3800,2800,Check,Completed,Direct Sales
ORD-10583,20230123,C048,P023,R002,4,699,0,2796,800,1996,ACH,Completed,Partner
ORD-10232,20230124,C016,P007,R003,4,450,0,1800,880,920,ACH,Completed,Online
ORD-10777,20230124,C010,P024,R002,4,6200,0.1,22320.0,11200,11120.0,Purchase Order,Returned,Direct Sales
ORD-11372,20230125,C024,P018,R002,8,1800,0,14400,4800,9600,Wire Transfer,Completed,Direct Sales
ORD-11035,20230126,C023,P029,R004,5,1500,0.05,7125.0,2500,4625.0,Credit Card,Completed,Partner
ORD-10102,20230127,C030,P030,R002,1,8000,0.15,6800.0,3500,3300.0,Check,Completed,Online
ORD-10379,20230127,C025,P026,R001,24,599,0.05,13657.2,3600,10057.2,Purchase Order,Completed,Online
ORD-10823,20230127,C031,P030,R001,1,8000,0,8000,3500,4500,Credit Card,Completed,Online
ORD-11078,20230127,C008,P022,R003,3,2800,0,8400,4500,3900,Check,Completed,Direct Sales
ORD-10434,20230130,C056,P025,R001,1,1800,0,1800,900,900,Credit Card,Completed,Online
ORD-10940,20230130,C045,P016,R002,1,2000,0,2000,800,1200,Purchase Order,Completed,Direct Sales
ORD-11211,20230130,C049,P013,R001,4,7500,0,30000,12800,17200,Check,Completed,Direct Sales
ORD-10963,20230131,C042,P029,R004,1,1500,0.1,1350.0,500,850.0,Wire Transfer,Completed,Partner
ORD-11199,20230131,C040,P025,R003,2,1800,0,3600,1800,1800,Credit Card,Completed,Partner
ORD-11492,20230131,C012,P009,R001,2,3800,0,7600,3000,4600,Wire Transfer,Completed,Marketplace
ORD-11498,20230131,C010,P014,R002,4,1650,0.1,5940.0,3800,2140.0,Credit Card,Completed,Direct Sales
ORD-10853,20230203,C030,P015,R002,22,199,0.15,3721.3,1320,2401.3,Purchase Order,Completed,Partner
