ProcessID,OrderID,DateKey,Department,ProcessStep,PlannedDuration_hrs,ActualDuration_hrs,DelayReason,Status,Priority,AssignedTo,StartDateTime,EndDateTime
PRC-0001,ORD-10787,20250506,Order Processing,Order Verification,2,2.0,,Completed,High,Team Golf,2025-05-06 08:00,2025-05-06 10:00
PRC-0002,ORD-10787,20250506,Warehouse,Pick & Pack,5,7.2,Documentation Missing,Completed,Medium,Team Charlie,2025-05-06 10:30,2025-05-06 17:42
PRC-0003,ORD-10787,20250506,Quality Control,Inspection,2,3.9,Quality Issue Found,Completed,Medium,Team Echo,2025-05-06 18:12,2025-05-06 22:06
PRC-0004,ORD-10787,20250506,Shipping,Dispatch,3,2.9,,Completed,Medium,Team Echo,2025-05-06 22:36,2025-05-07 01:30
PRC-0005,ORD-10569,20230928,Order Processing,Order Verification,1,1.4,Weather Delay,Completed,High,Team Charlie,2023-09-28 08:00,2023-09-28 09:24
PRC-0006,ORD-10569,20230928,Fulfillment,License Provisioning,2,3.9,Volume Processing,Completed,High,Team Delta,2023-09-28 09:54,2023-09-28 13:48
PRC-0007,ORD-10534,20240221,Order Processing,Order Verification,2,1.7,,Completed,Medium,Team Charlie,2024-02-21 08:00,2024-02-21 09:42
PRC-0008,ORD-10534,20240221,Warehouse,Pick & Pack,5,9.6,Integration Issues,Completed,High,Team Delta,2024-02-21 10:12,2024-02-21 19:48
PRC-0009,ORD-10534,20240221,Quality Control,Inspection,2,3.7,Staff Shortage,Completed,High,Team Echo,2024-02-21 20:18,2024-02-22 00:00
PRC-0010,ORD-10534,20240221,Shipping,Dispatch,3,2.8,,Completed,High,Team Charlie,2024-02-22 00:30,2024-02-22 03:18
PRC-0011,ORD-10755,20240703,Order Processing,Order Verification,2,1.7,,Completed,Medium,Team Bravo,2024-07-03 08:00,2024-07-03 09:42
PRC-0012,ORD-10755,20240703,Warehouse,Pick & Pack,5,4.5,,Completed,High,Team Charlie,2024-07-03 10:12,2024-07-03 14:42
PRC-0013,ORD-10755,20240703,Quality Control,Inspection,2,2.0,,Completed,Medium,Team Foxtrot,2024-07-03 15:12,2024-07-03 17:12
PRC-0014,ORD-10755,20240703,Shipping,Dispatch,3,3.0,,Completed,Medium,Team Bravo,2024-07-03 17:42,2024-07-03 20:42
PRC-0015,ORD-10300,20240607,Order Processing,Order Verification,2,3.1,Equipment Malfunction,Completed,High,Team Bravo,2024-06-07 08:00,2024-06-07 11:06
PRC-0016,ORD-10300,20240607,Warehouse,Pick & Pack,5,4.4,,Completed,Critical,Team Golf,2024-06-07 11:36,2024-06-07 16:00
PRC-0017,ORD-10300,20240607,Quality Control,Inspection,2,3.5,Integration Issues,Completed,High,Team Alpha,2024-06-07 16:30,2024-06-07 20:00
PRC-0018,ORD-10300,20240607,Shipping,Dispatch,3,2.9,,Completed,Medium,Team Golf,2024-06-07 20:30,2024-06-07 23:24
PRC-0019,ORD-11249,20240918,Order Processing,Order Verification,1,0.9,,Completed,Medium,Team Hotel,2024-09-18 08:00,2024-09-18 08:54
PRC-0020,ORD-11249,20240918,Fulfillment,License Provisioning,2,3.7,Quality Issue Found,Completed,High,Team Charlie,2024-09-18 09:24,2024-09-18 13:06
PRC-0021,ORD-10555,20250805,Order Processing,Order Verification,2,3.8,Integration Issues,Completed,Critical,Team Delta,2025-08-05 08:00,2025-08-05 11:48
PRC-0022,ORD-10555,20250805,Warehouse,Pick & Pack,5,5.8,Integration Issues,Completed,High,Team Charlie,2025-08-05 12:18,2025-08-05 18:06
PRC-0023,ORD-10555,20250805,Quality Control,Inspection,2,3.4,Volume Processing,Completed,High,Team Delta,2025-08-05 18:36,2025-08-05 22:00
PRC-0024,ORD-10555,20250805,Shipping,Dispatch,3,2.8,,Completed,High,Team Charlie,2025-08-05 22:30,2025-08-06 01:18
PRC-0025,ORD-10703,20241104,Order Processing,Order Verification,1,1.0,,Completed,Critical,Team Hotel,2024-11-04 08:00,2024-11-04 09:00
PRC-0026,ORD-10703,20241104,Fulfillment,License Provisioning,2,1.9,,Completed,High,Team Hotel,2024-11-04 09:30,2024-11-04 11:24
PRC-0027,ORD-10337,20240307,Order Processing,Order Verification,2,2.6,Documentation Missing,Completed,High,Team Golf,2024-03-07 08:00,2024-03-07 10:36
PRC-0028,ORD-10337,20240307,Warehouse,Pick & Pack,5,4.4,,Completed,High,Team Bravo,2024-03-07 11:06,2024-03-07 15:30
PRC-0029,ORD-10337,20240307,Quality Control,Inspection,2,3.9,Vendor Delay,Completed,Medium,Team Golf,2024-03-07 16:00,2024-03-07 19:54
PRC-0030,ORD-10337,20240307,Shipping,Dispatch,3,3.0,,Completed,High,Team Hotel,2024-03-07 20:24,2024-03-07 23:24
PRC-0031,ORD-10175,20240502,Order Processing,Order Verification,2,1.9,,Completed,Low,Team Echo,2024-05-02 08:00,2024-05-02 09:54
PRC-0032,ORD-10175,20240502,Warehouse,Pick & Pack,5,5.1,,Completed,High,Team Alpha,2024-05-02 10:24,2024-05-02 15:30
PRC-0033,ORD-10175,20240502,Quality Control,Inspection,2,1.8,,Completed,High,Team Golf,2024-05-02 16:00,2024-05-02 17:48
PRC-0034,ORD-10175,20240502,Shipping,Dispatch,3,2.7,,Completed,High,Team Alpha,2024-05-02 18:18,2024-05-02 21:00
PRC-0035,ORD-11477,20231026,Order Processing,Order Verification,2,3.5,Complex Requirements,Completed,High,Team Alpha,2023-10-26 08:00,2023-10-26 11:30
PRC-0036,ORD-11477,20231026,Service Delivery,Engagement Setup,8,11.8,Volume Processing,Completed,Critical,Team Delta,2023-10-26 12:00,2023-10-26 23:48
PRC-0037,ORD-11477,20231026,Service Delivery,Execution,16,13.2,,Completed,Critical,Team Foxtrot,2023-10-27 00:18,2023-10-27 13:30
PRC-0038,ORD-10472,20230307,Order Processing,Order Verification,2,3.2,Quality Issue Found,Completed,Low,Team Golf,2023-03-07 08:00,2023-03-07 11:12
PRC-0039,ORD-10472,20230307,Warehouse,Pick & Pack,5,8.7,Complex Requirements,Completed,High,Team Bravo,2023-03-07 11:42,2023-03-07 20:24
PRC-0040,ORD-10472,20230307,Quality Control,Inspection,2,1.9,,Completed,High,Team Delta,2023-03-07 20:54,2023-03-07 22:48
PRC-0041,ORD-10472,20230307,Shipping,Dispatch,3,3.0,,Completed,High,Team Delta,2023-03-07 23:18,2023-03-08 02:18
PRC-0042,ORD-11058,20250722,Order Processing,Order Verification,1,1.2,Complex Requirements,Completed,High,Team Delta,2025-07-22 08:00,2025-07-22 09:12
PRC-0043,ORD-11058,20250722,Fulfillment,License Provisioning,2,1.7,,Completed,Low,Team Alpha,2025-07-22 09:42,2025-07-22 11:24
PRC-0044,ORD-11452,20250422,Order Processing,Order Verification,2,1.9,,Completed,High,Team Hotel,2025-04-22 08:00,2025-04-22 09:54
PRC-0045,ORD-11452,20250422,Service Delivery,Engagement Setup,8,10.8,Staff Shortage,Completed,Medium,Team Delta,2025-04-22 10:24,2025-04-22 21:12
PRC-0046,ORD-11452,20250422,Service Delivery,Execution,16,28.4,Documentation Missing,Completed,High,Team Golf,2025-04-22 21:42,2025-04-24 02:06
PRC-0047,ORD-10685,20240624,Order Processing,Order Verification,1,1.8,Equipment Malfunction,Completed,Critical,Team Bravo,2024-06-24 08:00,2024-06-24 09:48
PRC-0048,ORD-10685,20240624,Fulfillment,License Provisioning,2,3.5,Documentation Missing,Completed,High,Team Alpha,2024-06-24 10:18,2024-06-24 13:48
PRC-0049,ORD-10686,20250925,Order Processing,Order Verification,2,3.7,Volume Processing,Completed,Critical,Team Bravo,2025-09-25 08:00,2025-09-25 11:42
PRC-0050,ORD-10686,20250925,Service Delivery,Engagement Setup,8,8.0,,Completed,Medium,Team Echo,2025-09-25 12:12,2025-09-25 20:12
PRC-0051,ORD-10686,20250925,Service Delivery,Execution,16,14.5,,Completed,High,Team Echo,2025-09-25 20:42,2025-09-26 11:12
PRC-0052,ORD-10378,20230717,Order Processing,Order Verification,2,2.6,Equipment Malfunction,Completed,Critical,Team Hotel,2023-07-17 08:00,2023-07-17 10:36
PRC-0053,ORD-10378,20230717,Warehouse,Pick & Pack,5,4.5,,Completed,Medium,Team Golf,2023-07-17 11:06,2023-07-17 15:36
PRC-0054,ORD-10378,20230717,Quality Control,Inspection,2,1.8,,Completed,Critical,Team Delta,2023-07-17 16:06,2023-07-17 17:54
PRC-0055,ORD-10378,20230717,Shipping,Dispatch,3,3.1,,Completed,High,Team Foxtrot,2023-07-17 18:24,2023-07-17 21:30
PRC-0056,ORD-10014,20241205,Order Processing,Order Verification,2,2.0,,Completed,High,Team Alpha,2024-12-05 08:00,2024-12-05 10:00
PRC-0057,ORD-10014,20241205,Service Delivery,Engagement Setup,8,6.9,,Completed,High,Team Bravo,2024-12-05 10:30,2024-12-05 17:24
PRC-0058,ORD-10014,20241205,Service Delivery,Execution,16,14.1,,Completed,Critical,Team Bravo,2024-12-05 17:54,2024-12-06 08:00
PRC-0059,ORD-11479,20250106,Order Processing,Order Verification,2,2.5,Weather Delay,Completed,High,Team Bravo,2025-01-06 08:00,2025-01-06 10:30
PRC-0060,ORD-11479,20250106,Warehouse,Pick & Pack,5,8.3,Weather Delay,Completed,High,Team Delta,2025-01-06 11:00,2025-01-06 19:18
PRC-0061,ORD-11479,20250106,Quality Control,Inspection,2,3.1,Approval Pending,Completed,High,Team Foxtrot,2025-01-06 19:48,2025-01-06 22:54
PRC-0062,ORD-11479,20250106,Shipping,Dispatch,3,2.4,,Completed,High,Team Golf,2025-01-06 23:24,2025-01-07 01:48
PRC-0063,ORD-11146,20250703,Order Processing,Order Verification,1,0.9,,Completed,Medium,Team Hotel,2025-07-03 08:00,2025-07-03 08:54
PRC-0064,ORD-11146,20250703,Fulfillment,License Provisioning,2,1.8,,Completed,High,Team Foxtrot,2025-07-03 09:24,2025-07-03 11:12
PRC-0065,ORD-10041,20240701,Order Processing,Order Verification,2,1.8,,Completed,High,Team Bravo,2024-07-01 08:00,2024-07-01 09:48
PRC-0066,ORD-10041,20240701,Warehouse,Pick & Pack,5,4.5,,Completed,Medium,Team Charlie,2024-07-01 10:18,2024-07-01 14:48
PRC-0067,ORD-10041,20240701,Quality Control,Inspection,2,1.7,,Completed,High,Team Charlie,2024-07-01 15:18,2024-07-01 17:00
PRC-0068,ORD-10041,20240701,Shipping,Dispatch,3,5.6,Carrier Delay,Completed,Low,Team Golf,2024-07-01 17:30,2024-07-01 23:06
PRC-0069,ORD-10536,20240401,Order Processing,Order Verification,1,1.0,,Completed,High,Team Charlie,2024-04-01 08:00,2024-04-01 09:00
PRC-0070,ORD-10536,20240401,Fulfillment,License Provisioning,2,1.9,,Completed,High,Team Echo,2024-04-01 09:30,2024-04-01 11:24
PRC-0071,ORD-11322,20230622,Order Processing,Order Verification,2,4.0,Quality Issue Found,Completed,Critical,Team Echo,2023-06-22 08:00,2023-06-22 12:00
PRC-0072,ORD-11322,20230622,Service Delivery,Engagement Setup,8,7.6,,Completed,High,Team Charlie,2023-06-22 12:30,2023-06-22 20:06
PRC-0073,ORD-11322,20230622,Service Delivery,Execution,16,25.1,Inventory Mismatch,Completed,Critical,Team Foxtrot,2023-06-22 20:36,2023-06-23 21:42
PRC-0074,ORD-11389,20230112,Order Processing,Order Verification,2,1.7,,Completed,High,Team Foxtrot,2023-01-12 08:00,2023-01-12 09:42
PRC-0075,ORD-11389,20230112,Warehouse,Pick & Pack,5,4.9,,Completed,Critical,Team Charlie,2023-01-12 10:12,2023-01-12 15:06
PRC-0076,ORD-11389,20230112,Quality Control,Inspection,2,3.5,Weather Delay,Completed,Low,Team Golf,2023-01-12 15:36,2023-01-12 19:06
PRC-0077,ORD-11389,20230112,Shipping,Dispatch,3,4.6,Staff Shortage,Completed,High,Team Delta,2023-01-12 19:36,2023-01-13 00:12
PRC-0078,ORD-10411,20250319,Order Processing,Order Verification,2,2.4,Weather Delay,Completed,High,Team Alpha,2025-03-19 08:00,2025-03-19 10:24
PRC-0079,ORD-10411,20250319,Warehouse,Pick & Pack,5,4.7,,Completed,Medium,Team Delta,2025-03-19 10:54,2025-03-19 15:36
PRC-0080,ORD-10411,20250319,Quality Control,Inspection,2,2.2,Inventory Mismatch,Completed,High,Team Golf,2025-03-19 16:06,2025-03-19 18:18
PRC-0081,ORD-10411,20250319,Shipping,Dispatch,3,2.6,,Completed,High,Team Golf,2025-03-19 18:48,2025-03-19 21:24
PRC-0082,ORD-11434,20230816,Order Processing,Order Verification,1,0.9,,Completed,High,Team Delta,2023-08-16 08:00,2023-08-16 08:54
PRC-0083,ORD-11434,20230816,Fulfillment,License Provisioning,2,2.5,Quality Issue Found,Completed,Medium,Team Charlie,2023-08-16 09:24,2023-08-16 11:54
PRC-0084,ORD-10049,20250130,Order Processing,Order Verification,2,2.4,Documentation Missing,Completed,High,Team Golf,2025-01-30 08:00,2025-01-30 10:24
